Steps(n),Distance(d),categories
100,8.643710599692334,Experiment
200,12.435982531590446,Experiment
300,15.173388052317778,Experiment
400,17.727703999573162,Experiment
500,19.753263894309054,Experiment
600,21.235737623342054,Experiment
700,22.924540104532674,Experiment
800,25.056294498773802,Experiment
900,26.656845207016843,Experiment
1000,28.18417945437751,Experiment
1100,29.544534924396565,Experiment
1200,31.83035428018154,Experiment
1300,32.193544858701124,Experiment
1400,33.30104808921713,Experiment
1500,34.11630043458673,Experiment
1600,35.39267911763791,Experiment
1700,36.01991613938451,Experiment
1800,37.30830051375874,Experiment
1900,38.26686536746151,Experiment
2000,39.975975722435166,Experiment
2100,40.781323214181455,Experiment
2200,40.74262560035286,Experiment
2300,43.003769683674754,Experiment
2400,41.861522198120475,Experiment
2500,44.358032917776704,Experiment
2600,44.86318612794248,Experiment
2700,46.555118456416935,Experiment
2800,46.29519359256753,Experiment
2900,47.407950334666374,Experiment
3000,48.90151221272791,Experiment
3100,49.051129151109315,Experiment
3200,50.53877288920799,Experiment
3300,50.7300257857436,Experiment
3400,53.14225939776328,Experiment
3500,52.441753105635215,Experiment
3600,51.932189386722364,Experiment
3700,52.636888542236015,Experiment
3800,53.843988602890356,Experiment
3900,56.020091328978886,Experiment
4000,53.96148838287449,Experiment
4100,56.092296588024325,Experiment
4200,57.53242755973403,Experiment
4300,58.90167955760091,Experiment
4400,59.86906216554855,Experiment
4500,58.57920875679333,Experiment
4600,60.972822897435776,Experiment
4700,60.08996230614365,Experiment
4800,60.13287503926897,Experiment
4900,62.21762384224057,Experiment
5000,63.229251913701184,Experiment
5100,63.26951843349696,Experiment
5200,64.55793401265065,Experiment
5300,62.802665018341564,Experiment
5400,62.985218661376514,Experiment
5500,66.95067992264214,Experiment
5600,65.92248731526296,Experiment
5700,68.39935428678403,Experiment
5800,67.74162405572098,Experiment
5900,70.13190859787339,Experiment
6000,68.04470768112465,Experiment
6100,69.76507032872225,Experiment
6200,69.03363093663701,Experiment
6300,71.84581340659115,Experiment
6400,70.46962781022626,Experiment
6500,71.17104941273828,Experiment
6600,73.28288864125962,Experiment
6700,71.3811416580571,Experiment
6800,70.64229315783817,Experiment
6900,74.03872965079559,Experiment
7000,72.67745027761693,Experiment
7100,73.81529826838386,Experiment
7200,75.5922181006693,Experiment
7300,73.21603898644774,Experiment
7400,75.05959726483793,Experiment
7500,75.96283713373047,Experiment
7600,77.48995676907958,Experiment
7700,78.82856934074483,Experiment
7800,78.66854684100886,Experiment
7900,77.87993504500531,Experiment
8000,80.06399004130806,Experiment
8100,78.6221554432637,Experiment
8200,81.09628365452785,Experiment
8300,80.40297798380178,Experiment
8400,82.12466310197402,Experiment
8500,82.9158594363065,Experiment
8600,81.17756232219214,Experiment
8700,83.46971296347928,Experiment
8800,83.53358273413575,Experiment
8900,83.97766445452537,Experiment
9000,85.47545850420765,Experiment
9100,84.99090370797957,Experiment
9200,83.52698958520514,Experiment
9300,86.50369170710476,Experiment
9400,85.43716972539693,Experiment
9500,89.39569899492199,Experiment
9600,85.52947028022571,Experiment
9700,85.93518333727104,Experiment
9800,86.60363937644064,Experiment
9900,85.55520912908071,Experiment
10000,88.94378939861858,Experiment
100,9.0,Deduction
200,12.727922061357857,Deduction
300,15.588457268119898,Deduction
400,18.0,Deduction
500,20.12461179749811,Deduction
600,22.045407685048602,Deduction
700,23.811761799581316,Deduction
800,25.455844122715714,Deduction
900,27.0,Deduction
1000,28.460498941515414,Deduction
1100,29.849623113198604,Deduction
1200,31.176914536239796,Deduction
1300,32.449961479175904,Deduction
1400,33.67491648096548,Deduction
1500,34.856850115866756,Deduction
1600,36.0,Deduction
1700,37.107950630558946,Deduction
1800,38.18376618407357,Deduction
1900,39.230090491866065,Deduction
2000,40.24922359499622,Deduction
2100,41.24318125460256,Deduction
2200,42.21374183841087,Deduction
2300,43.162483709814474,Deduction
2400,44.090815370097204,Deduction
2500,45.0,Deduction
2600,45.89117562233506,Deduction
2700,46.76537180435969,Deduction
2800,47.62352359916263,Deduction
2900,48.46648326421054,Deduction
3000,49.29503017546495,Deduction
3100,50.1098792654702,Deduction
3200,50.91168824543143,Deduction
3300,51.70106381884226,Deduction
3400,52.478567053607705,Deduction
3500,53.24471804789655,Deduction
3600,54.0,Deduction
3700,54.74486277268398,Deduction
3800,55.47972602672079,Deduction
3900,56.20498198558558,Deduction
4000,56.92099788303083,Deduction
4100,57.62811813689564,Deduction
4200,58.32666628567074,Deduction
4300,59.016946718718,Deduction
4400,59.69924622639721,Deduction
4500,60.37383539249432,Deduction
4600,61.04096984812742,Deduction
4700,61.7008914036094,Deduction
4800,62.35382907247959,Deduction
4900,63.0,Deduction
5000,63.63961030678928,Deduction
5100,64.27285585688564,Deduction
5200,64.89992295835181,Deduction
5300,65.52098900352468,Deduction
5400,66.13622305514582,Deduction
5500,66.74578638386097,Deduction
5600,67.34983296193096,Deduction
5700,67.94850991743674,Deduction
5800,68.54195795277518,Deduction
5900,69.13031173081747,Deduction
6000,69.71370023173351,Deduction
6100,70.2922470831599,Deduction
6200,70.8660708661063,Deduction
6300,71.43528539874394,Deduction
6400,72.0,Deduction
6500,72.56031973468694,Deduction
6600,73.11634564172365,Deduction
6700,73.66817494685205,Deduction
6800,74.21590126111789,Deduction
6900,74.75961476626267,Deduction
7000,75.29940238806681,Deduction
7100,75.83534795858722,Deduction
7200,76.36753236814714,Deduction
7300,76.89603370785778,Deduction
7400,77.42092740338364,Deduction
7500,77.94228634059948,Deduction
7600,78.46018098373213,Deduction
7700,78.9746794865291,Deduction
7800,79.48584779695062,Deduction
7900,79.9937497558403,Deduction
8000,80.49844718999243,Deduction
8100,81.0,Deduction
8200,81.49846624323676,Deduction
8300,81.99390221229869,Deduction
8400,82.48636250920512,Deduction
8500,82.975900115636,Deduction
8600,83.46256645946134,Deduction
8700,83.94641147779933,Deduction
8800,84.42748367682174,Deduction
8900,84.90583018850944,Deduction
9000,85.38149682454623,Deduction
9100,85.85452812752511,Deduction
9200,86.32496741962895,Deduction
9300,86.7928568489366,Deduction
9400,87.25823743349392,Deduction
9500,87.72114910328068,Deduction
9600,88.18163074019441,Deduction
9700,88.63972021616495,Deduction
9800,89.095454429505,Deduction
9900,89.5488693395958,Deduction
10000,90.0,Deduction
